# Databricks Gold Layer Physical Data Model
# Format: table_name|column_name|data_type|description|business_key|constraints

# Product Master Table
fact_purchase_orders|po_key|STRING|Surrogate key for purchase order|PRIMARY_KEY|NOT_NULL
fact_purchase_orders|po_number|STRING|Purchase order number|BUSINESS_KEY|NOT_NULL
fact_purchase_orders|product_id|STRING|Foreign key to dim_product|FOREIGN_KEY|NOT_NULL
fact_purchase_orders|supplier_id|STRING|Foreign key to dim_supplier|FOREIGN_KEY|NOT_NULL
fact_purchase_orders|location_id|STRING|Foreign key to dim_location|FOREIGN_KEY|NOT_NULL
fact_purchase_orders|order_date_key|STRING|Foreign key to dim_date for order date|FOREIGN_KEY|NOT_NULL
fact_purchase_orders|expected_date_key|STRING|Foreign key to dim_date for expected delivery||
fact_purchase_orders|received_date_key|STRING|Foreign key to dim_date for actual delivery||
fact_purchase_orders|ordered_quantity|DECIMAL(12,2)|Quantity ordered||
fact_purchase_orders|received_quantity|DECIMAL(12,2)|Quantity actually received||
fact_purchase_orders|unit_price|DECIMAL(10,2)|Unit price on PO||
fact_purchase_orders|total_amount|DECIMAL(15,2)|Total order amount||
fact_purchase_orders|po_status|STRING|Order status||

# Sales/Issues Fact
fact_sales|sales_key|STRING|Surrogate key for sales transaction|PRIMARY_KEY|NOT_NULL
fact_sales|transaction_id|STRING|Unique transaction identifier|BUSINESS_KEY|NOT_NULL
fact_sales|product_id|STRING|Foreign key to dim_product|FOREIGN_KEY|NOT_NULL
fact_sales|location_id|STRING|Foreign key to dim_location|FOREIGN_KEY|NOT_NULL
fact_sales|date_key|STRING|Foreign key to dim_date|FOREIGN_KEY|NOT_NULL
fact_sales|quantity_sold|DECIMAL(12,2)|Quantity sold/issued||
fact_sales|unit_price|DECIMAL(10,2)|Unit selling price||
fact_sales|unit_cost|DECIMAL(10,2)|Unit cost at time of sale||
fact_sales|total_revenue|DECIMAL(15,2)|Total revenue amount||
fact_sales|total_cost|DECIMAL(15,2)|Total cost amount||
fact_sales|gross_profit|DECIMAL(15,2)|Gross profit amount||
fact_sales|customer_id|STRING|Customer identifier||
fact_sales|sales_channel|STRING|Sales channel type||

# Inventory Movements Fact
fact_inventory_movements|movement_key|STRING|Surrogate key for movement|PRIMARY_KEY|NOT_NULL
fact_inventory_movements|transaction_id|STRING|Transaction identifier|BUSINESS_KEY|NOT_NULL
fact_inventory_movements|product_id|STRING|Foreign key to dim_product|FOREIGN_KEY|NOT_NULL
fact_inventory_movements|location_id|STRING|Foreign key to dim_location|FOREIGN_KEY|NOT_NULL
fact_inventory_movements|date_key|STRING|Foreign key to dim_date|FOREIGN_KEY|NOT_NULL
fact_inventory_movements|movement_type|STRING|Type of movement (IN/OUT/TRANSFER)||
fact_inventory_movements|quantity|DECIMAL(12,2)|Movement quantity||
fact_inventory_movements|unit_cost|DECIMAL(10,2)|Unit cost at movement||
fact_inventory_movements|total_value|DECIMAL(15,2)|Total movement value||
fact_inventory_movements|reference_number|STRING|Reference document number||
fact_inventory_movements|reason_code|STRING|Reason for movement||
fact_inventory_movements|from_location|STRING|Source location for transfers||
fact_inventory_movements|to_location|STRING|Destination location for transfers||
